id,name,age,specialty,years_of_experience,salary
4573,David Wilson4573,52,Neurology,6,197462
4574,John Doe4574,50,Neurology,19,130898
4575,Laura Martinez4575,52,Cardiology,32,115033
4576,Sarah Davis4576,45,Dermatology,21,101788
4577,John Doe4577,62,Cardiology,27,172720
4578,James Anderson4578,57,General Surgery,22,168474
4579,Jane Smith4579,33,Neurology,36,189466
4580,Emily Johnson4580,42,Ophthalmology,27,172685
4581,Laura Martinez4581,27,General Surgery,37,114058
4582,Emily Johnson4582,54,Dermatology,2,152797
4583,Michael Brown4583,56,General Surgery,40,83772
4584,Jane Smith4584,31,Pediatrics,19,143931
4585,John Doe4585,62,Pediatrics,37,92596
4586,James Anderson4586,51,Dermatology,9,125023
4587,James Anderson4587,37,Pediatrics,29,142715
4588,John Doe4588,45,Neurology,28,130063
4589,Laura Martinez4589,59,Neurology,8,130792
4590,Emily Johnson4590,50,Pediatrics,10,189435
4591,James Anderson4591,40,Neurology,35,136711
4592,Patricia Taylor4592,31,Ophthalmology,18,132045
4593,Patricia Taylor4593,33,Pediatrics,26,156893
4594,James Anderson4594,34,Dermatology,37,159601
4595,John Doe4595,36,Pediatrics,17,83714
4596,Michael Brown4596,57,Pediatrics,18,87529
4597,Sarah Davis4597,63,General Surgery,6,168369
4598,Emily Johnson4598,59,Pediatrics,23,130743
4599,James Anderson4599,36,Pediatrics,35,168611
4600,Laura Martinez4600,27,General Surgery,27,119325
4601,Jane Smith4601,63,Pediatrics,2,102246
4602,John Doe4602,58,Pediatrics,13,166300
4603,Sarah Davis4603,43,Dermatology,17,181617
4604,Patricia Taylor4604,58,Dermatology,20,124159
4605,James Anderson4605,54,Pediatrics,20,176496
4606,Patricia Taylor4606,59,General Surgery,33,154806
4607,Sarah Davis4607,37,Orthopedics,8,152650
4608,Robert Lee4608,29,Ophthalmology,30,119337
4609,Laura Martinez4609,53,Pediatrics,35,88362
4610,Jane Smith4610,62,Neurology,5,142472
4611,Sarah Davis4611,61,Dermatology,4,138848
4612,Emily Johnson4612,31,Neurology,33,132768
4613,Robert Lee4613,37,Pediatrics,22,92931
4614,John Doe4614,41,General Surgery,12,192996
4615,Michael Brown4615,54,Neurology,18,152031
4616,Sarah Davis4616,47,General Surgery,12,196605
4617,David Wilson4617,62,Pediatrics,39,190355
4618,Laura Martinez4618,45,Neurology,25,178301
4619,Sarah Davis4619,63,Pediatrics,30,192875
4620,Laura Martinez4620,29,Cardiology,12,169526
4621,Patricia Taylor4621,37,Ophthalmology,16,87943
4622,Emily Johnson4622,45,Pediatrics,8,168901
4623,Sarah Davis4623,51,Dermatology,25,188809
4624,John Doe4624,53,Pediatrics,8,81890
4625,Robert Lee4625,45,General Surgery,26,117281
4626,Michael Brown4626,44,General Surgery,22,145478
4627,Sarah Davis4627,62,Neurology,29,166301
4628,James Anderson4628,41,Cardiology,24,184181
4629,Sarah Davis4629,46,Pediatrics,29,89485
4630,Michael Brown4630,36,Ophthalmology,27,185521
4631,John Doe4631,33,General Surgery,26,195601
4632,Michael Brown4632,27,Orthopedics,26,122197
4633,John Doe4633,58,Ophthalmology,33,138222
4634,Sarah Davis4634,34,Cardiology,23,108629
4635,James Anderson4635,36,Cardiology,24,133768
4636,James Anderson4636,34,Neurology,15,113515
4637,Jane Smith4637,63,Ophthalmology,1,177095
4638,Emily Johnson4638,49,General Surgery,28,141573
4639,Robert Lee4639,46,Ophthalmology,12,169531
4640,James Anderson4640,33,Pediatrics,15,151925
4641,Emily Johnson4641,59,Orthopedics,35,164272
4642,Robert Lee4642,32,Neurology,35,159783
4643,Sarah Davis4643,45,General Surgery,39,130881
4644,David Wilson4644,45,Orthopedics,15,160832
4645,Robert Lee4645,28,Cardiology,2,156495
4646,Robert Lee4646,33,Neurology,9,155423
4647,James Anderson4647,58,Orthopedics,14,180573
4648,Sarah Davis4648,31,Orthopedics,21,143638
4649,Robert Lee4649,31,Dermatology,4,161974
4650,Sarah Davis4650,49,Neurology,36,154931
4651,James Anderson4651,63,Neurology,6,195848
4652,Laura Martinez4652,35,General Surgery,32,91211
4653,Michael Brown4653,60,Dermatology,31,186016
4654,Jane Smith4654,41,Dermatology,11,110011
4655,Patricia Taylor4655,44,Dermatology,6,154184
4656,Emily Johnson4656,56,Cardiology,32,148502
4657,James Anderson4657,56,Dermatology,23,128025
4658,Laura Martinez4658,52,Pediatrics,5,154277
4659,James Anderson4659,26,General Surgery,32,86745
4660,James Anderson4660,58,Dermatology,29,123424
4661,David Wilson4661,51,General Surgery,37,131693
4662,Jane Smith4662,35,Orthopedics,25,101959
4663,Patricia Taylor4663,55,Pediatrics,22,196579
4664,Robert Lee4664,64,Dermatology,19,88399
4665,Emily Johnson4665,51,Orthopedics,18,83337
4666,James Anderson4666,35,General Surgery,13,93181
4667,Michael Brown4667,31,General Surgery,33,107389
4668,Laura Martinez4668,50,Dermatology,4,93620
4669,Patricia Taylor4669,57,Dermatology,5,188864
4670,James Anderson4670,53,Orthopedics,16,86549
4671,David Wilson4671,52,Ophthalmology,12,173607
4672,Robert Lee4672,45,Orthopedics,29,125973
4673,Michael Brown4673,47,Dermatology,5,127910
4674,Patricia Taylor4674,44,Dermatology,18,122618
4675,Laura Martinez4675,58,Neurology,23,154503
4676,Emily Johnson4676,60,Cardiology,35,181639
4677,Emily Johnson4677,32,Pediatrics,34,152705
4678,Sarah Davis4678,30,Dermatology,26,151320
4679,Michael Brown4679,35,Dermatology,3,106497
4680,Sarah Davis4680,34,Pediatrics,40,132960
4681,James Anderson4681,46,Cardiology,38,92484
4682,Michael Brown4682,60,Orthopedics,22,88638
4683,Robert Lee4683,27,Dermatology,1,113249
4684,Michael Brown4684,55,Pediatrics,7,123030
4685,David Wilson4685,35,Dermatology,12,186206
4686,James Anderson4686,48,Ophthalmology,36,157091
4687,John Doe4687,57,Pediatrics,7,113445
4688,Emily Johnson4688,35,Dermatology,36,149213
4689,James Anderson4689,61,Neurology,37,107486
4690,Sarah Davis4690,53,Pediatrics,20,110479
4691,Emily Johnson4691,48,Dermatology,16,132887
4692,Robert Lee4692,30,Cardiology,18,123010
4693,Sarah Davis4693,45,General Surgery,15,153014
4694,Jane Smith4694,62,General Surgery,35,183530
4695,Emily Johnson4695,55,Orthopedics,22,93427
4696,Patricia Taylor4696,25,Ophthalmology,20,113685
4697,Laura Martinez4697,47,Ophthalmology,16,154707
4698,Patricia Taylor4698,44,Neurology,18,132095
4699,Jane Smith4699,31,General Surgery,13,176837
4700,Jane Smith4700,29,Ophthalmology,17,151889
4701,David Wilson4701,39,Dermatology,30,131605
4702,Michael Brown4702,33,General Surgery,22,145919
4703,David Wilson4703,59,General Surgery,27,144697
4704,David Wilson4704,51,Cardiology,6,140565
4705,Michael Brown4705,60,General Surgery,33,142554
4706,James Anderson4706,53,Dermatology,28,163463
4707,Jane Smith4707,55,Orthopedics,34,108369
4708,John Doe4708,36,Dermatology,20,113193
4709,John Doe4709,44,Neurology,22,139893
4710,Emily Johnson4710,44,General Surgery,3,194214
4711,David Wilson4711,30,Ophthalmology,14,138279
4712,Robert Lee4712,32,Orthopedics,6,165634
4713,Michael Brown4713,41,General Surgery,12,123105
4714,Robert Lee4714,60,Orthopedics,5,95792
4715,Robert Lee4715,33,Neurology,38,104996
4716,Sarah Davis4716,49,Dermatology,37,174287
4717,John Doe4717,61,Ophthalmology,15,97589
4718,Michael Brown4718,54,Ophthalmology,16,139729
4719,John Doe4719,29,Neurology,32,170080
4720,Laura Martinez4720,55,General Surgery,30,152104
4721,Robert Lee4721,58,Ophthalmology,12,113042
4722,Emily Johnson4722,65,Neurology,16,111730
4723,Emily Johnson4723,26,Neurology,19,153023
4724,Emily Johnson4724,49,Neurology,20,128825
4725,Emily Johnson4725,41,Ophthalmology,14,159286
4726,John Doe4726,41,Pediatrics,28,166788
4727,James Anderson4727,61,Cardiology,12,122420
4728,James Anderson4728,47,General Surgery,30,195760
4729,David Wilson4729,63,Orthopedics,10,197806
4730,Sarah Davis4730,42,Ophthalmology,30,106362
4731,Patricia Taylor4731,42,Dermatology,34,84281
4732,Jane Smith4732,48,Ophthalmology,5,96672
4733,Emily Johnson4733,48,Pediatrics,8,164590
4734,Michael Brown4734,42,Orthopedics,21,195850
4735,Michael Brown4735,58,Orthopedics,24,137704
4736,Michael Brown4736,35,Ophthalmology,11,101956
4737,James Anderson4737,51,Orthopedics,8,82153
4738,Michael Brown4738,52,Ophthalmology,5,144199
4739,Jane Smith4739,41,Orthopedics,5,174441
4740,Patricia Taylor4740,42,General Surgery,22,148724
4741,Patricia Taylor4741,64,Cardiology,7,132990
4742,Laura Martinez4742,65,Orthopedics,12,153029
4743,James Anderson4743,55,Dermatology,30,125670
4744,Patricia Taylor4744,25,Ophthalmology,23,106820
4745,Sarah Davis4745,42,General Surgery,17,134853
4746,Sarah Davis4746,26,Ophthalmology,38,186281
4747,Laura Martinez4747,29,General Surgery,36,173245
4748,Patricia Taylor4748,35,Orthopedics,32,190940
4749,Laura Martinez4749,48,Orthopedics,17,123094
4750,Sarah Davis4750,44,General Surgery,32,176137
4751,Emily Johnson4751,60,Cardiology,33,125384
4752,Robert Lee4752,49,Pediatrics,23,95961
4753,Emily Johnson4753,48,Cardiology,8,158899
4754,Sarah Davis4754,30,Neurology,25,89182
4755,Patricia Taylor4755,50,Dermatology,40,104240
4756,Laura Martinez4756,52,Pediatrics,39,132928
4757,John Doe4757,49,Ophthalmology,13,116104
4758,Michael Brown4758,34,General Surgery,31,197461
4759,David Wilson4759,49,Cardiology,19,194802
4760,David Wilson4760,33,Dermatology,18,100417
4761,Emily Johnson4761,39,Neurology,26,132997
4762,Michael Brown4762,51,Dermatology,14,142429
4763,Laura Martinez4763,37,Dermatology,36,159596
4764,Robert Lee4764,33,Orthopedics,3,151150
4765,Sarah Davis4765,62,Dermatology,35,100881
4766,Jane Smith4766,43,General Surgery,18,122492
4767,John Doe4767,65,Pediatrics,25,108360
4768,Robert Lee4768,38,Neurology,4,169484
4769,Robert Lee4769,62,General Surgery,37,93205
4770,Michael Brown4770,35,Neurology,31,121961
4771,David Wilson4771,56,General Surgery,20,129804
4772,David Wilson4772,52,Neurology,19,100037
4773,Patricia Taylor4773,42,Pediatrics,16,163328
4774,David Wilson4774,51,Orthopedics,25,114794
4775,John Doe4775,53,Orthopedics,34,193224
4776,David Wilson4776,34,Cardiology,39,101311
4777,Sarah Davis4777,60,Pediatrics,18,190411
4778,Laura Martinez4778,29,Cardiology,8,166887
4779,John Doe4779,62,Orthopedics,11,181036
4780,John Doe4780,36,Cardiology,39,164783
4781,David Wilson4781,25,Cardiology,27,137001
4782,David Wilson4782,44,Orthopedics,38,190409
4783,Michael Brown4783,60,Ophthalmology,32,160456
4784,James Anderson4784,44,Ophthalmology,19,182691
4785,James Anderson4785,49,Ophthalmology,32,137671
4786,Laura Martinez4786,60,Ophthalmology,40,130812
4787,Michael Brown4787,44,General Surgery,28,160553
4788,Michael Brown4788,61,General Surgery,13,145227
4789,Emily Johnson4789,28,Dermatology,12,168051
4790,James Anderson4790,65,Orthopedics,28,131287
4791,John Doe4791,43,General Surgery,6,163600
4792,John Doe4792,42,General Surgery,24,134983
4793,Michael Brown4793,41,Neurology,33,111640
4794,Michael Brown4794,34,Neurology,20,153786
4795,Sarah Davis4795,38,General Surgery,1,102006
4796,David Wilson4796,35,Neurology,12,170817
4797,David Wilson4797,57,Cardiology,29,100276
4798,Robert Lee4798,58,Dermatology,14,143078
4799,Laura Martinez4799,51,Dermatology,14,155830
4800,Sarah Davis4800,61,General Surgery,30,129099
4801,Sarah Davis4801,54,Pediatrics,39,149717
4802,Emily Johnson4802,44,Pediatrics,5,118046
4803,John Doe4803,57,General Surgery,19,184169
4804,Patricia Taylor4804,50,Pediatrics,24,141772
4805,Sarah Davis4805,63,Pediatrics,25,95588
4806,Jane Smith4806,61,Cardiology,8,107827
4807,Robert Lee4807,40,Ophthalmology,39,133269
4808,John Doe4808,54,Neurology,24,192712
4809,Jane Smith4809,45,Neurology,27,132100
4810,Emily Johnson4810,60,Pediatrics,37,104911
4811,Patricia Taylor4811,61,Cardiology,3,107431
4812,Patricia Taylor4812,49,Pediatrics,2,98589
4813,Laura Martinez4813,42,Neurology,24,176634
4814,Michael Brown4814,41,Pediatrics,33,190278
4815,David Wilson4815,42,Pediatrics,26,84215
4816,Laura Martinez4816,29,Orthopedics,40,83936
4817,Laura Martinez4817,52,Orthopedics,32,131105
4818,John Doe4818,34,Pediatrics,30,125063
4819,John Doe4819,53,Cardiology,6,164253
4820,Sarah Davis4820,43,Ophthalmology,21,170599
4821,Jane Smith4821,63,Orthopedics,4,145764
4822,Emily Johnson4822,60,Ophthalmology,36,191148
4823,David Wilson4823,64,Ophthalmology,26,81917
4824,Robert Lee4824,42,Dermatology,20,93419
4825,Sarah Davis4825,36,Pediatrics,33,106765
4826,James Anderson4826,58,Ophthalmology,18,164069
4827,Robert Lee4827,31,Dermatology,6,176207
4828,Michael Brown4828,44,General Surgery,37,134496
4829,Jane Smith4829,27,Neurology,10,169236
4830,James Anderson4830,31,Ophthalmology,27,196713
4831,Patricia Taylor4831,55,Neurology,29,169366
4832,Michael Brown4832,41,Cardiology,7,116307
4833,Michael Brown4833,55,Pediatrics,9,120952
4834,Emily Johnson4834,28,Ophthalmology,27,114182
4835,John Doe4835,58,General Surgery,8,191646
4836,James Anderson4836,30,Cardiology,39,87117
4837,Emily Johnson4837,33,Cardiology,16,124572
4838,John Doe4838,55,Orthopedics,5,176607
4839,Laura Martinez4839,48,Neurology,39,192694
4840,Michael Brown4840,60,Dermatology,10,87227
4841,Laura Martinez4841,42,Pediatrics,35,170028
4842,Laura Martinez4842,27,Ophthalmology,36,162588
4843,John Doe4843,62,Orthopedics,27,162289
4844,Jane Smith4844,33,Ophthalmology,7,144240
4845,Jane Smith4845,38,Ophthalmology,21,85502
4846,David Wilson4846,52,Orthopedics,24,148820
4847,David Wilson4847,46,Neurology,19,192882
4848,Patricia Taylor4848,25,Dermatology,36,141385
4849,Laura Martinez4849,49,Ophthalmology,17,130807
4850,Michael Brown4850,27,General Surgery,10,128054
4851,Jane Smith4851,29,Neurology,12,194445
4852,Michael Brown4852,36,Neurology,39,144089
4853,Michael Brown4853,46,Ophthalmology,36,120368
4854,David Wilson4854,49,Pediatrics,7,189932
4855,David Wilson4855,58,General Surgery,9,141175
4856,James Anderson4856,29,Dermatology,23,80262
4857,Michael Brown4857,25,Ophthalmology,30,179920
4858,Michael Brown4858,28,Ophthalmology,21,123594
4859,Laura Martinez4859,33,General Surgery,38,152603
4860,David Wilson4860,55,Dermatology,7,119286
4861,Sarah Davis4861,44,Ophthalmology,27,81662
4862,Jane Smith4862,33,Dermatology,39,82631
4863,James Anderson4863,52,Dermatology,33,102241
4864,Laura Martinez4864,25,Ophthalmology,25,174516
4865,James Anderson4865,25,Pediatrics,8,91603
4866,David Wilson4866,52,Cardiology,14,83299
4867,Michael Brown4867,65,Pediatrics,5,123788
4868,Laura Martinez4868,28,Orthopedics,39,156539
4869,Patricia Taylor4869,25,Ophthalmology,9,111326
4870,Laura Martinez4870,63,Cardiology,35,185402
4871,Sarah Davis4871,63,Ophthalmology,3,83289
4872,John Doe4872,41,Dermatology,38,160781
4873,John Doe4873,30,Pediatrics,8,133110
4874,James Anderson4874,42,Dermatology,17,100029
4875,Jane Smith4875,65,Orthopedics,40,112647
4876,James Anderson4876,39,Pediatrics,17,137247
4877,David Wilson4877,50,Cardiology,1,185792
4878,Laura Martinez4878,52,Orthopedics,29,126734
4879,Patricia Taylor4879,30,Ophthalmology,25,136974
4880,Emily Johnson4880,61,Neurology,7,181727
4881,Emily Johnson4881,50,Neurology,15,98500
4882,Michael Brown4882,62,Ophthalmology,23,192864
4883,Jane Smith4883,50,Neurology,6,90407
4884,David Wilson4884,31,General Surgery,18,169129
4885,David Wilson4885,48,Neurology,39,172622
4886,Laura Martinez4886,52,Pediatrics,16,167821
4887,Patricia Taylor4887,37,General Surgery,32,179304
4888,John Doe4888,27,Orthopedics,38,93353
4889,Michael Brown4889,34,Orthopedics,5,136023
4890,John Doe4890,60,Pediatrics,34,134372
4891,Sarah Davis4891,36,Ophthalmology,12,134042
4892,Emily Johnson4892,60,Pediatrics,9,109825
4893,David Wilson4893,64,Neurology,36,140549
4894,David Wilson4894,41,Orthopedics,31,132223
4895,Laura Martinez4895,47,Dermatology,30,162053
4896,James Anderson4896,62,Orthopedics,8,130283
4897,David Wilson4897,58,Orthopedics,18,101201
4898,Patricia Taylor4898,61,Ophthalmology,12,146254
4899,Laura Martinez4899,37,Cardiology,18,172926
4900,Robert Lee4900,61,Pediatrics,2,145233
4901,Emily Johnson4901,54,Cardiology,1,105742
4902,Laura Martinez4902,43,Dermatology,36,109858
4903,Emily Johnson4903,64,Neurology,16,176469
4904,John Doe4904,50,General Surgery,23,145635
4905,Emily Johnson4905,57,Pediatrics,31,136226
4906,David Wilson4906,26,Ophthalmology,25,153838
4907,James Anderson4907,33,General Surgery,6,186462
4908,Jane Smith4908,35,Ophthalmology,4,177132
4909,David Wilson4909,41,Pediatrics,2,143210
4910,Jane Smith4910,53,Pediatrics,1,121276
4911,Jane Smith4911,27,Dermatology,28,113944
4912,John Doe4912,61,Orthopedics,2,95755
4913,David Wilson4913,29,Neurology,1,187972
4914,David Wilson4914,26,Neurology,18,81408
4915,Sarah Davis4915,63,Neurology,26,177089
4916,Sarah Davis4916,63,General Surgery,39,145076
4917,Sarah Davis4917,65,Cardiology,23,153031
4918,Emily Johnson4918,35,Dermatology,29,170184
4919,Robert Lee4919,33,Dermatology,30,198703
4920,John Doe4920,52,Cardiology,2,148014
4921,James Anderson4921,52,Ophthalmology,7,184671
4922,Robert Lee4922,65,Orthopedics,31,164982
4923,Robert Lee4923,29,General Surgery,31,178303
4924,Robert Lee4924,44,Ophthalmology,36,182561
4925,Jane Smith4925,47,Cardiology,3,126885
4926,David Wilson4926,36,General Surgery,16,128141
4927,Laura Martinez4927,64,Neurology,18,144803
4928,James Anderson4928,31,Cardiology,26,160529
4929,Sarah Davis4929,61,Orthopedics,32,117206
4930,David Wilson4930,63,General Surgery,17,118322
4931,Sarah Davis4931,51,General Surgery,7,176793
4932,Sarah Davis4932,39,Cardiology,7,192039
4933,Robert Lee4933,39,Cardiology,6,141960
4934,James Anderson4934,44,Neurology,29,144791
4935,Sarah Davis4935,48,Cardiology,4,130224
4936,Jane Smith4936,29,General Surgery,1,98657
4937,Jane Smith4937,32,Pediatrics,14,86021
4938,David Wilson4938,28,Cardiology,40,166371
4939,James Anderson4939,50,General Surgery,40,88876
4940,John Doe4940,56,Neurology,40,106320
4941,James Anderson4941,59,Pediatrics,15,163345
4942,Laura Martinez4942,36,Cardiology,25,175229
4943,James Anderson4943,42,General Surgery,17,191796
4944,Michael Brown4944,34,General Surgery,3,95460
4945,Jane Smith4945,58,Pediatrics,4,191993
4946,Jane Smith4946,36,Orthopedics,20,91231
4947,Robert Lee4947,49,Orthopedics,4,96582
4948,Emily Johnson4948,63,General Surgery,31,113690
4949,John Doe4949,36,Pediatrics,8,160703
4950,Robert Lee4950,57,General Surgery,5,182278
4951,Robert Lee4951,35,General Surgery,11,148990
4952,Sarah Davis4952,55,Pediatrics,27,171163
4953,Jane Smith4953,53,Orthopedics,8,137939
4954,Sarah Davis4954,49,General Surgery,12,133413
4955,Patricia Taylor4955,52,Cardiology,38,98781
4956,Laura Martinez4956,41,Pediatrics,36,120299
4957,John Doe4957,60,Ophthalmology,12,90819
4958,Sarah Davis4958,47,General Surgery,40,80684
4959,Emily Johnson4959,30,Neurology,25,110096
4960,Sarah Davis4960,27,Dermatology,24,143810
4961,Jane Smith4961,37,Pediatrics,22,134518
4962,David Wilson4962,55,Neurology,35,122995
4963,Jane Smith4963,44,Pediatrics,33,89675
4964,Sarah Davis4964,52,Neurology,1,122811
4965,Robert Lee4965,53,Dermatology,21,193961
4966,Michael Brown4966,55,Pediatrics,38,132383
4967,Michael Brown4967,48,General Surgery,3,155713
4968,Sarah Davis4968,40,Dermatology,27,162302
4969,Robert Lee4969,34,Neurology,40,174804
4970,Sarah Davis4970,65,Cardiology,27,87423
4971,Patricia Taylor4971,33,Cardiology,15,156783
4972,David Wilson4972,41,Orthopedics,9,104796
4973,Michael Brown4973,31,Orthopedics,39,110367
4974,Robert Lee4974,40,Orthopedics,1,147270
4975,Jane Smith4975,37,Cardiology,18,104354
4976,David Wilson4976,39,Neurology,37,152319
4977,Patricia Taylor4977,28,General Surgery,16,153140
4978,Robert Lee4978,46,Pediatrics,32,96493
4979,Robert Lee4979,29,Cardiology,33,90868
4980,David Wilson4980,37,Neurology,32,174940
4981,Laura Martinez4981,49,Pediatrics,3,172030
4982,David Wilson4982,33,Pediatrics,37,129048
4983,Patricia Taylor4983,50,Ophthalmology,21,179168
4984,Laura Martinez4984,27,Pediatrics,9,139955
4985,Michael Brown4985,36,Cardiology,40,124857
4986,Emily Johnson4986,50,Neurology,34,185735
4987,Robert Lee4987,44,General Surgery,6,93474
4988,Jane Smith4988,28,Neurology,22,171312
4989,Patricia Taylor4989,64,Neurology,9,160334
4990,Sarah Davis4990,31,Ophthalmology,34,117924
4991,James Anderson4991,63,Ophthalmology,36,196007
4992,Emily Johnson4992,35,General Surgery,36,105851
4993,Jane Smith4993,45,Ophthalmology,39,170826
4994,Patricia Taylor4994,56,General Surgery,34,114426
4995,David Wilson4995,54,Dermatology,8,117442
4996,James Anderson4996,38,Neurology,34,170285
4997,David Wilson4997,32,General Surgery,17,159084
4998,John Doe4998,38,Pediatrics,8,107584
4999,Robert Lee4999,44,Orthopedics,38,132322
5000,Robert Lee5000,40,Pediatrics,4,158908
5001,Michael Brown5001,44,Pediatrics,12,100496
5002,James Anderson5002,36,Pediatrics,6,121533
5003,Patricia Taylor5003,26,Pediatrics,19,158553
5004,Sarah Davis5004,63,Neurology,9,193612
5005,Patricia Taylor5005,45,Dermatology,34,113176
5006,James Anderson5006,40,Cardiology,24,161581
5007,Michael Brown5007,51,Ophthalmology,8,194960
5008,Sarah Davis5008,27,Cardiology,6,108723
5009,John Doe5009,26,Ophthalmology,15,98484
5010,Emily Johnson5010,25,Orthopedics,35,183493
5011,John Doe5011,48,Cardiology,7,173655
5012,John Doe5012,60,Orthopedics,19,139314
5013,James Anderson5013,47,Ophthalmology,34,175191
5014,Emily Johnson5014,61,Orthopedics,15,85331
5015,Patricia Taylor5015,45,Dermatology,25,185535
5016,Sarah Davis5016,58,General Surgery,22,151730
5017,Patricia Taylor5017,39,Ophthalmology,29,124512
5018,Emily Johnson5018,37,Cardiology,10,113177
5019,Laura Martinez5019,58,Ophthalmology,19,96204
5020,Jane Smith5020,45,Ophthalmology,21,85839
5021,Laura Martinez5021,29,General Surgery,4,192589
5022,David Wilson5022,53,Neurology,15,122839
5023,David Wilson5023,51,General Surgery,11,196811
5024,Laura Martinez5024,39,Neurology,1,170920
5025,Jane Smith5025,41,Cardiology,22,88401
5026,Sarah Davis5026,40,Orthopedics,3,190913
5027,David Wilson5027,27,Neurology,33,140058
5028,Michael Brown5028,42,General Surgery,20,148887
5029,Laura Martinez5029,55,Pediatrics,29,115696
5030,John Doe5030,36,Orthopedics,5,170140
5031,Robert Lee5031,50,Cardiology,5,122977
5032,Laura Martinez5032,32,General Surgery,28,109069
5033,David Wilson5033,62,Pediatrics,19,104912
5034,Laura Martinez5034,34,Pediatrics,35,107672
5035,Laura Martinez5035,52,Neurology,37,177470
5036,John Doe5036,46,Ophthalmology,13,176044
5037,Sarah Davis5037,35,Ophthalmology,15,134302
5038,Patricia Taylor5038,64,Pediatrics,27,88273
5039,Laura Martinez5039,63,Dermatology,17,181146
5040,Patricia Taylor5040,64,Neurology,31,191814
5041,Jane Smith5041,64,General Surgery,22,142339
5042,Robert Lee5042,34,Cardiology,40,106472
5043,Jane Smith5043,38,Neurology,33,161465
5044,John Doe5044,63,Orthopedics,13,169365
5045,James Anderson5045,59,Cardiology,27,174492
5046,Michael Brown5046,48,Pediatrics,27,91869
5047,Robert Lee5047,36,Orthopedics,32,189158
5048,James Anderson5048,25,General Surgery,32,81883
5049,Jane Smith5049,59,Neurology,29,104817
5050,Jane Smith5050,63,Cardiology,3,85098
5051,Jane Smith5051,35,Neurology,15,137610
5052,Emily Johnson5052,65,Orthopedics,35,96171
5053,David Wilson5053,55,Dermatology,9,108881
5054,David Wilson5054,25,Pediatrics,23,99903
5055,John Doe5055,54,Orthopedics,31,86687
5056,Sarah Davis5056,25,Cardiology,35,199607
5057,Michael Brown5057,50,Orthopedics,37,81402
5058,Sarah Davis5058,64,Dermatology,3,180460
5059,Emily Johnson5059,56,General Surgery,11,159894
5060,Emily Johnson5060,48,Ophthalmology,39,177829
5061,Sarah Davis5061,35,Neurology,7,82441
5062,David Wilson5062,59,Neurology,10,192656
5063,Michael Brown5063,59,Dermatology,30,152862
5064,Robert Lee5064,45,Cardiology,40,94054
5065,James Anderson5065,65,Neurology,13,134185
5066,Michael Brown5066,56,Cardiology,35,83394
5067,Jane Smith5067,34,General Surgery,21,144398
5068,Jane Smith5068,64,Neurology,12,146967
5069,Robert Lee5069,28,Orthopedics,3,144554
5070,Emily Johnson5070,51,Pediatrics,34,160058
5071,Sarah Davis5071,51,Ophthalmology,4,185911
5072,Michael Brown5072,48,Ophthalmology,4,168429
5073,Emily Johnson5073,58,Dermatology,39,91543
5074,James Anderson5074,25,Neurology,5,148272
5075,David Wilson5075,41,Ophthalmology,4,148145
5076,Laura Martinez5076,56,Ophthalmology,8,183575
5077,David Wilson5077,34,Pediatrics,17,165860
5078,John Doe5078,38,Ophthalmology,40,140891
5079,Jane Smith5079,57,Pediatrics,10,126439
5080,Emily Johnson5080,65,General Surgery,17,183106
5081,Laura Martinez5081,62,Ophthalmology,5,105441
5082,James Anderson5082,46,General Surgery,7,192131
5083,John Doe5083,47,Ophthalmology,29,162719
5084,John Doe5084,40,Ophthalmology,7,192201
5085,Sarah Davis5085,63,Cardiology,9,172435
5086,John Doe5086,58,Neurology,30,84117
5087,Laura Martinez5087,28,Cardiology,21,177704
5088,David Wilson5088,62,General Surgery,16,124248
5089,Emily Johnson5089,58,Cardiology,36,115411
5090,David Wilson5090,50,Cardiology,15,109729
5091,Robert Lee5091,27,Cardiology,24,86822
5092,Laura Martinez5092,53,General Surgery,15,134177
5093,Laura Martinez5093,63,Pediatrics,11,190982
5094,John Doe5094,43,Pediatrics,37,164417
5095,Robert Lee5095,64,Ophthalmology,5,163669
5096,Sarah Davis5096,37,Pediatrics,31,148502
5097,Laura Martinez5097,37,Ophthalmology,21,191386
5098,Michael Brown5098,47,Pediatrics,30,117555
5099,Sarah Davis5099,53,Ophthalmology,22,179237
5100,James Anderson5100,60,Cardiology,40,170033
5101,Patricia Taylor5101,63,Pediatrics,6,106598
5102,Patricia Taylor5102,63,Orthopedics,11,189146
5103,Jane Smith5103,49,Neurology,26,84982
5104,John Doe5104,45,Ophthalmology,29,126561
5105,Robert Lee5105,50,Dermatology,15,112212
5106,Robert Lee5106,25,Orthopedics,1,94433
5107,Michael Brown5107,50,Cardiology,12,136570
5108,Laura Martinez5108,62,Ophthalmology,1,199712
5109,Jane Smith5109,65,Neurology,33,168300
5110,Sarah Davis5110,26,General Surgery,24,127032
5111,John Doe5111,45,General Surgery,28,163777
5112,Michael Brown5112,29,Cardiology,6,147651
5113,Sarah Davis5113,47,Dermatology,22,113040
5114,James Anderson5114,49,Cardiology,28,193885
5115,Sarah Davis5115,65,Orthopedics,19,176640
5116,Laura Martinez5116,41,Ophthalmology,4,156947
5117,Michael Brown5117,46,Pediatrics,6,176175
5118,James Anderson5118,51,Cardiology,36,94861
5119,James Anderson5119,59,Dermatology,27,125029
5120,Patricia Taylor5120,50,Dermatology,26,169449
